Judul,URL,Penulis,Tanggal Post,Konten,Dijawab Oleh,Jawaban Dokter,Tanggal Jawaban
Susu yang tepat untuk penderita diabetes,https://www.alodokter.com/komunitas/topic/susu-yang-tepat-untuk-penderita-diabetes,Ne**l,"14 November 2024, 12:51","Nenek saya umu76 th dok sakit diabetes, selama ini nenek saya minum susu utk penguat tulang, gula nenek saya masih diatas 200, apa ya dok susu yg bagus utk pencerita diabetes?",dr. Riza Marlina,"Alo, selamat sore Diabetes atau kencing manis merupakan penyakit kronis yang ditandai dengan kadar gula darah yang tinggi oleh karena itu penderita diabetes harus membatasi konsumsi gula termasuk makanan dan minuman yang manis. Hal ini tentu membuat penderita diabetes ragu untuk konsumsi susu karena susu termasuk minuman manis yang mengandung banyak gula namun tidak perlu khawatir penderita diabetes bisa tetap minum susu dimana susu merupakan sumber kalsium yang sangat diperlukan tubuh untuk menjaga kepadatan tulang dan fungsi saraf selain itu protein yang terkandung dalam susu juga bermanfaat untuk menstabilkan kadar gula darah penderita diabetes. Ada beberapa hal yang bisa anda perhatikan saat memilih susu diabetes yaitu : Pilihlah susu yang rendah gula Pilihlah susu yang rendah lemak dan tinggi protein Pilihlah susu yang kaya akan kalsium dan vitamin d Lebih mudahnya bisa pilih susu khusus diabetes yang banyak dijual dipasaran dan konsumsi sesuai dengan anjuran pada kemasan biasanya 2-3 kali sehari dengan ukuran 200 ml. Semoga dapat membantu","14 November 2024, 16:58"
Susu diabetes untuk lansia usia 75 tahun,https://www.alodokter.com/komunitas/topic/susu-diabetes-untuk-lansia-usia-75-tahun,Po***d,"11 November 2024, 07:48","Dok nenek saya usia 75 tahun, ada riwayat sakit gula, hipertensi dan asam urat,, mohon rekomendasi susu diabetes yg bagus utk lansia yg punya riwayat penyakit tsb dok...",dr. Riza Marlina,"Alo, selamat siang Diabetes atau kencing manis merupakan penyakit kronis yang ditandai dengan kadar gula darah yang tinggi oleh karena itu penderita diabetes harus membatasi konsumsi gula termasuk makanan dan minuman yang manis. Untuk susu penderita diabetes boleh saja konsumsi susu dimana susu merupakan sumber kalsium yang sangat diperlukan tubuh untuk menjaga kepadatan tulang dan fungsi saraf selain itu protein yang terkandung dalam susu juga bermanfaat untuk menstabilkan kadar gula darah penderita diabetes. Ada beberapa hal yang perlu anda perhatikan saat memilih susu diabetes seperti : Pilihlah susu yang rendah gula Pilihlah susu yang rendah lemak dan tinggi protein Pilihlah susu yang kaya akan kalsium dan vitamin D Dimana memilih susu diabetes yang tepat bisa membawa banyak manfaat namun jika salah pilih susu justru bisa memperburuk kondisi diabetes. Anda bisa pilih beberapa meresk susu untuk diabetes banyak dijual di market dan apotik, konsumsi susu sesuai takaran pada kemasan ya. Semoga dapat membantu","11 November 2024, 15:27"
Cara mengatasi gigi goyang agar tidak copot pada penderita DM,https://www.alodokter.com/komunitas/topic/cara-mengatasi-gigi-goyang-agar-tidak-copot-pada-penderita-dm,Ru***a,"5 November 2024, 07:49","Mama saya usia 54 th punya riwayat DM, beberapa hari ini mengeluh giginya goyang. semenjak DM nya naik. cara mengatasi gigi goyang agar tidak copot gimana ya dok?",dr. Nadia Nurotul Fuadah,"Alo, terimakasih atas pertanyaannya. Diabetes (DM) yang tidak terkontrol memang kerap menimbulkan masalah di sekitar gigi, gusi, dan jaringan penyokongnya, sehingga menyebabkan gigi mudah menjadi goyang. Goyangnya gigi pada penderita DM ini bisa diakibatkan oleh beragam faktor, di antaranya: Produksi air liur yang minim, sehingga menyebabkan banyak karang rentan menumpuk di sekitar gigi Kadar glukosa di dalam air liur meningkat, sehingga membuat bakteri patogen rentan berkembang biak Respons imun yang abnormal, sehingga menyebabkan gusi dan jaringan periodontal rentan meradang Di samping itu, mungkin juga gigi mama Anda yang goyang timbul karena pencetus lain, tidak selalu terkait dengan DM yang dideritanya, misalnya karena kebersihan gigi dan mulut yang buruk hingga memicu karies, perubahan hormon, karang gigi, resesi gusi, kekurangan nutrisi tertentu, dan sebagainya. Agar tidak bertambah parah, kondisi beliau sebaiknya diperiksakanlah langsung ke dokter gigi. Tergantung penyebab dan keparahannya, penanganan yang diberikan nantinya bisa berbeda, bisa dengan obat-obatan, perawatan gigi yang bermasalah, scaling karang gigi, pemasangan gum grafts atau flap, dan sebagainya. Sementara ini, yang perlu beliau lakukan ialah: Kontrol DM dengan rutin berobat, batasi asupan makanan berindeks glikemik tinggi, rajin berolahraga, perbanyak mengkonsumsi buah dan sayur, jaga berat badan agar ideal, serta tidak stres berlebihan Batasi konsumsi makanan yang teksturnya terlalu keras, lengket, atau panas Tidak merokok Sikat gigi dan lakukan flossing setiap habis makan Jangan lupa bersihkan lidah dan berkumur dengan larutan garam sebelum tidur malam Rutin kontrol ke dokter gigi setiap 6 bulan sekali Semoga membantu ya..","5 November 2024, 15:46"
Obat sering buang air kecil tapi tidak sakit,https://www.alodokter.com/komunitas/topic/obat-sering-buang-air-kecil-tapi-tidak-sakit,Ma*****s,"24 Oktober 2024, 07:30","Hi dokter, dok dari semalam saya tidak bisa tidur karena bolak-balik kamar mandi karena kencing mulu, dan pipis saya cuma sedikit, padahal udara tidak dingin dan saya jg tidak sedang banyak minum. Kira-kira obat sering buang air kecil tapi tidak sakit?",dr. Devika Y,"Alo, Keluhan sering buang air kecil dapat disebabkan karena banyak faktor, diantaranya yaitu: Gangguan prostat (pada pria) Infeksi saluran kemih Sistitis Penyakit menular seksual Batu ginjal dan batu saluran kemih Penyakit radang panggul (pada wanita) Untuk membantu mengurangi keluhan sering buang air kecil, Anda bisa melakukan beberapa tips berikut ini: Istirahat cukup Hindari stress Kompres hangat perut bawah Minum lebih banyak air putih Jangan menahan kencing Jaga daerah kelamin Hindari makanan yang mengandung kafein, pemanis buatan, makanan pedas, asam, dan minuman beralkohol Gunakan celana yang nyaman dan tidak ketat Konsumsi makanan bervitamin C Konsumsi probiotik Konsumsi cranberry Apabila dalam 2-3 hari keluhan Anda tidak membaik, Anda bisa berkonsultasi dengan dokter agar dapat dilakukan pemeriksaan lebih lanjut untuk memastikan penyebabnya dan bila perlu dilakukan tes urin dan tes darah. Jika sudah dipastikan, maka dokter dapat memberikan Anda penanganan yang lebih tepat sesuai hasil pemeriksaan Anda. Semoga membantu Anda, Terimakasih.","24 Oktober 2024, 10:29"
Bolehkah penderita diabetes konsumsi roti?,https://www.alodokter.com/komunitas/topic/bolehkah-penderita-diabetes-konsumsi-roti-,Le****o,"17 Oktober 2024, 13:09","Dok saya umur 36 tahun di diagnosa dokter diabetes dok,, saya srkg benar benar menjaga pola makan dan hidup saya,, yg nggak bisa saya tinggalkan kebiasaan saya adalah makan roti dok,,, mangkanya saya bingung,, roti apa ya dok yg bisa dikonsumsi penderita diabetes spt sayaa?",dr. Riza Marlina,"Alo, selamat malam Diabetes ialah penyakit kronis yang ditandai dengan tingginya kadar gula darah. Seseorang lebih beresiko mengalami diabetes jika memiliki keluarga yang mengalami diabetes juga, jarang melakukan olahraga serta memiliki berat badan berlebih, konsumsi makanan tinggi gula dan karbohdirat simpleks. Penderita diabetes harus menerapkan pola hidup sehat dengan cara : Mengonsumsi makanan bergizi lengkap dan seimbang Memilih makanan tinggi serat, rendah lemak dan rendah kalor Menghindari konsumsi makanan tinggu gula dan lemak tinggi Rutin olahraga Menjaga berat badan ideal Serta melakukan pemeriksaan kesehatan rutin Untuk roti memang sebaiknya dihindari atau dibatasi oleh penderita diabetes karena roti kebanyakan mengandung karbohdirat yang dapat memicu lonjakan kadar gula darah, namun anda tidak perlu khawatir anda tetap bisa konsumsi roti tapi pilihlah roti gandum yang dimana roti jenis ini memiliki indeks glikemik dan karbohidrat lebih rendah dibandingkan roti lainnya karena adanya kandungan serat yang mampu memperlambat pencernaan sehingag membantu menstabilkan kadar gula darah. Semoga dapat membantu","17 Oktober 2024, 19:25"
Badan terasa dingin padahal cuaca panas gejala apa?,https://www.alodokter.com/komunitas/topic/badan-terasa-dingin-padahal-cuaca-panas-gejala-apa-,Pa**u,"11 Oktober 2024, 07:48","Dok,, badan saya terasa dingin,, padahal cuaca panas, apakah saya gejala demam dok...? mohon penjelasan nya dok?",dr. Nadia Nurotul Fuadah,"Alo, terimakasih atas pertanyaannya. Saat cuaca panas, tubuh akan memproduksi lebih banyak keringat, sehingga wajar saja tubuh terasa dingin. Namun bisa juga, tubuh Anda terasa dingin dikarenakan hal lain, misalnya dehidrasi, anemia, hipotensi, beberapa jenis infeksi, kaheksia, malnutrisi, hipotiroidisme, gangguan syaraf, gangguan jantung, syok, gangguan psikosomatis, dan banyak lagi gangguan medis lainnya. Kondisi seperti ini, jika tidak muncul disertai keluhan lain, bisa coba diatasi dulu secara mandiri dengan: Kenakan pakaian yang mampu menghangatkan tubuh Anda Perbanyak istirahat di ruangan yang nyaman Minum cukup air hangat, makan teratur makanan bernutrisi seimbang Tenangkan pikiran Anda Hindari hal yang mungkin membuat Anda alergi Namun, jika muncul juga rasa lemas, pusing, pandangan buram atau gelap, hilang keseimbangan, kebingungan mental, dan keluhan lain yang berat, segeralah Anda memeriksakan diri ke dokter agar dilakukan evaluasi dan penanganan lebih lanjut ya.. Semoga membantu.","11 Oktober 2024, 14:33"
Cairan pembersih luka bernanah,https://www.alodokter.com/komunitas/topic/cairan-pembersih-luka-bernanah,Zi*****e,"3 Oktober 2024, 10:55","Dok, kakek saya ada luka di jempol kaki dan bernanah,, kakek saya juga ada mengidap penyakit gula,,, bagaimana ya dok cara membersohkan luka yg spt itu dok..? Saya bingung tp kasihan... Mohon penjelasan nya dok, terimakasih..:))","dr. Tirtawati Wijaya, SE","Alo, saya dr. Tirtawati Wijaya, SE. Terima kasih sudah bertanya ke Alodokter. Penderita penyakit gula / kencing manis / diabetes melitus memang rentan mengalami luka di kaki yang tidak kunjung sembuh. Kadar gula darah yang tinggi dapat menyebabkan kerusakan syaraf yang umumnya mengenai syaraf tepi dulu, seperti syaraf di penis (pada lelaki) atau ujung jari-jari tangan dan kaki (stocking and gloves symptom). Kaki yang rusak syarafnya ini rentan terluka karena pasien tidak merasa nyeri, dan luka yang terjadi pun rendering lebih lambat ditemukan dan ditangani. Hal ini menyebabkan luka yang lebih parah, seringkali ditemukan dalam keadaan yang sudah pelik (komplikasi), sehingga penyembuhannya relatif lebih sulit. Selain merusak syaraf, kadar gula darah yang tinggi juga merusak pembuluh darah, terutama pembuluh darah perifer yang kecil-kecil, seperti di penis (pada lelaki) atau ujung jari-jari tangan dan kaki (stocking and gloves symptom). Karena proses penyembuhan luka memerlukan faktor-faktor pembekuan darah dan kerja sistem imunitas yang dikandung dalam darah, kerusakan pembuluh darah ini menghambat proses penyembuhan luka. Akibatnya luka yang terjadi di area ini cenderung sulit sembuh. Cara membersihkan luka pada pengidap diabetes pada prinsipnya sama dengan cara membersihkan luka pada umumnya, namun prosesnya membutuhkan waktu lebih lama karena kondisi yang saya jelaskan di atas. Selain membersihkan luka, tidak kalah pentingnya untuk dilakukan upaya mengendalikan kadar gula pasien, agar kerusakan syaraf dan pembuluh darahnya tidak semakin parah dan makin mempersulit penyembuhan luka. Berikut ini adalah hal yang perlu diperhatikan dalam menangani keluhan yang diderita kakek Anda: Periksakan kakek ke dokter penyakit dalam atau endokrin untuk mengendalikan sakit gulanya. Jika kondisi lukanya parah, dokter mungkin akan menganjurkan pemberian insulin untuk sementara waktu dan merujuk pasien ke dokter bedah untuk penanganan luka di kaki. Luka harus dijaga agar selalu dalam keadaan kering dan bersih. Perban harus diganti dan luka harus dicuci secara rutin sesuai kondisinya, dan setiap kali kotor, rembes, atau basah. Pencucian luka harus dilakukan secara steril. Gunakan larutan NaCl 0.9% steril dan kasar steril untuk mencuci luka. Baik larutan maupun kasa steril ini tidak boleh tersentuh tangan telanjang atau barang yang tidak steril. Buang jaringan mati di area luka, dan bersihkan nanahnya. Luka yang masih basah, terbuka, dan belum terbentuk jaringan granuloma harus ditutup dengan kasar steril. Luka yang terinfeksi perlu dibubuhi obat antibiotics sesuai resep dokter. Bila tidak tersedia orang yang terampil membersihkan luka secara steril beserta perlengkapannya, sebaiknya pencucian luka diketjakan oleh tenaga kesehatan professional di klinik, puskesmas, atau rumah sakit. Ini untuk mengurangi risiko infeksi yang justru bisa memperparah luka. Pastikan kakek menjalani terapi untuk mengendalikan gula darah dengan baik, termasuk juga menjaga pola makan dan aktivitas fisik sehari-hari. Biasakan kakek untuk selalu mengenakan alas kaki yang aman. Jangan menggunakan alas kaki karet yang mudah tertembus benda tajam yang terpijak. Pastikan ukuran alas kaki tidak terlalu kecil, agar tidak menciderai kaki. Biasakan kakek memeriksakan kakinya beberapa kali dalam sehari, dan segera merawat luka yang ditemukan, sekecil apapun lukanya. Semakin cepat dan dini ditangani, luka akan lebih cepat sembuh. Biasakan kakek menggunakan pelembab di seluruh kulit yang tidak terluka, terutama di bagian kaki dan tangan. Ini penting karena kulit kering cenderung lebih mudah teriritasi dan terluka. Biasanak kakek memotong kuku kaki dengan bentuk kotak, agar tepi kuku tidak melukai jari kaki (cantengan). Demikianlah penjelasan saya, semoga bermanfaat. Salam sehat selalu.Alo, saya dr. Tirtawati Wijaya, SE. Terima kasih sudah bertanya ke Alodokter. Penderita penyakit gula / kencing manis / diabetes melitus memang rentan mengalami luka di kaki yang tidak kunjung sembuh. Kadar gula darah yang tinggi dapat menyebabkan kerusakan syaraf yang umumnya mengenai syaraf tepi dulu, seperti syaraf di penis (pada lelaki) atau ujung jari-jari tangan dan kaki (stocking and gloves symptom). Kaki yang rusak syarafnya ini rentan terluka karena pasien tidak merasa nyeri, dan luka yang terjadi pun rendering lebih lambat ditemukan dan ditangani. Hal ini menyebabkan luka yang lebih parah, seringkali ditemukan dalam keadaan yang sudah pelik (komplikasi), sehingga penyembuhannya relatif lebih sulit. Selain merusak syaraf, kadar gula darah yang tinggi juga merusak pembuluh darah, terutama pembuluh darah perifer yang kecil-kecil, seperti di penis (pada lelaki) atau ujung jari-jari tangan dan kaki (stocking and gloves symptom). Karena proses penyembuhan luka memerlukan faktor-faktor pembekuan darah dan kerja sistem imunitas yang dikandung dalam darah, kerusakan pembuluh darah ini menghambat proses penyembuhan luka. Akibatnya luka yang terjadi di area ini cenderung sulit sembuh. Cara membersihkan luka pada pengidap diabetes pada prinsipnya sama dengan cara membersihkan luka pada umumnya, namun prosesnya membutuhkan waktu lebih lama karena kondisi yang saya jelaskan di atas. Selain membersihkan luka, tidak kalah pentingnya untuk dilakukan upaya mengendalikan kadar gula pasien, agar kerusakan syaraf dan pembuluh darahnya tidak semakin parah dan makin mempersulit penyembuhan luka. Berikut ini adalah hal yang perlu diperhatikan dalam menangani keluhan yang diderita kakek Anda: Periksakan kakek ke dokter penyakit dalam atau endokrin untuk mengendalikan sakit gulanya. Jika kondisi lukanya parah, dokter mungkin akan menganjurkan pemberian insulin untuk sementara waktu dan merujuk pasien ke dokter bedah untuk penanganan luka di kaki. Luka harus dijaga agar selalu dalam keadaan kering dan bersih. Perban harus diganti dan luka harus dicuci secara rutin sesuai kondisinya, dan setiap kali kotor, rembes, atau basah. Pencucian luka harus dilakukan secara steril. Gunakan larutan NaCl 0.9% steril dan kasar steril untuk mencuci luka. Baik larutan maupun kasa steril ini tidak boleh tersentuh tangan telanjang atau barang yang tidak steril. Buang jaringan mati di area luka, dan bersihkan nanahnya. Luka yang masih basah, terbuka, dan belum terbentuk jaringan granuloma harus ditutup dengan kasar steril. Luka yang terinfeksi perlu dibubuhi obat antibiotics sesuai resep dokter. Bila tidak tersedia orang yang terampil membersihkan luka secara steril beserta perlengkapannya, sebaiknya pencucian luka diketjakan oleh tenaga kesehatan professional di klinik, puskesmas, atau rumah sakit. Ini untuk mengurangi risiko infeksi yang justru bisa memperparah luka. Pastikan kakek menjalani terapi untuk mengendalikan gula darah dengan baik, termasuk juga menjaga pola makan dan aktivitas fisik sehari-hari. Biasakan kakek untuk selalu mengenakan alas kaki yang aman. Jangan menggunakan alas kaki karet yang mudah tertembus benda tajam yang terpijak. Pastikan ukuran alas kaki tidak terlalu kecil, agar tidak menciderai kaki. Biasakan kakek memeriksakan kakinya beberapa kali dalam sehari, dan segera merawat luka yang ditemukan, sekecil apapun lukanya. Semakin cepat dan dini ditangani, luka akan lebih cepat sembuh. Biasakan kakek menggunakan pelembab di seluruh kulit yang tidak terluka, terutama di bagian kaki dan tangan. Ini penting karena kulit kering cenderung lebih mudah teriritasi dan terluka. Biasanak kakek memotong kuku kaki dengan bentuk kotak, agar tepi kuku tidak melukai jari kaki (cantengan). Demikianlah penjelasan saya, semoga bermanfaat. Salam sehat selalu.","3 Oktober 2024, 17:28"
Bagaimana cara mengobati penyakit gula basah?,https://www.alodokter.com/komunitas/topic/bagaimana-cara-mengobati-penyakit-gula-basah-,Se****l,"1 Oktober 2024, 07:38","hallo dokter, mau bertanya,,, sodara saya abis dirawat di RS karena gula nya sampe 500,, usia nya masih mudah 35 tahun,, dan diagnosa sama dokter mengidap penyakit gula... sebenernya gula basah dan gula kering itu maksudnya apa dan bagaimana cara mengobati penyakitnya dok...?",dr. Riza Marlina,"Alo, selamat pagi Pada umumnya dalam istilah medis atau dunia medis tidak ada gula basah atau gula kering, istilah ini umumnya diartikan oleh masyrakat yang menandakan bahwa gula basah adanya luka pada penyakit diabetes serta gula kering tidak adanya luka pada penyakit diabetes. Memang sebagian dokter kerap menyebutkan bahasa ini karena masyarakat lebih mudah paham dan lebih sering dengan akan istilah tersebut. Pada umumnya didunia medis penyakit diabetes itu ada 3 jenis yaitu diabetes tipe 1, diabetes tipe 2 paling sering dan diabetes gestasional pada ibu hamil. Untuk pengobatan penyakit diabetes umumnya sama yaitu konsumsi obat antidiabetes dan bisa juga dengan penggunaan insulin yang tujuannya untuk menurunkan dan mengontrol kadar gula darah namun jika disertai kompilasi berupa ulkus diabetik atau disebut luka diabetes maka penangananya ditambah dengan penanganan perawatan luka serta obat luka, tetapi obat diabetes tentu tetap digunakan jika lukanya aja dirawat tapi penyebab lukanya tidak ditangani tentu luka tidak bisa sembuh. Untuk mendapatkan penaganan yang tepat akan penyakit diabetes perlunya menemui dokter penyakit dalam lebih lanjut. Semoga dapat membantu","1 Oktober 2024, 10:36"
Susu rendah gula yang bisa dikonsumsi penderita diabetes,https://www.alodokter.com/komunitas/topic/susu-rendah-gula-yang-bisa-dikonsumsi-penderita-diabetes,Ro**n,"27 September 2024, 10:43","Mama saya penderita penyakit diabetes sudah 1 tahun ini. badannya kurus dok, jika saya tambahin nutrisi seperti susu. kira2 susu rendah gula untuk diabetes yg bagus apa ya dokter?",dr. Nadia Nurotul Fuadah,"Alo, terimakasih atas pertanyaannya. Penderita diabetes bisa menjadi kurus badannya tidak melulu akibat kekurangan nutrisi. Lebih utama, hal ini disebabkan oleh minimnya produksi insulin atau resistensi tubuh terhadap aksinya, yang menyebabkan kadar gula dalam darah melonjak drastis namun tidak bisa dimanfaatkan oleh sel. Selain itu, kurusnya tubuh mama Anda mungkin juga diperparah oleh faktor lain, seperti stres, infeksi kronis, diet tidak seimbang, kelelahan fisik, kanker, gangguan autoimun, dan banyak lagi gangguan medis yang lain. Kondisi yang mama Anda alami tidak selalu tepat ditangani dengan pemberian susu. Kebanyakan susu mengandung tinggi gula, sehingga tidak disarankan dikonsumsi oleh penderita diabetes. Lebih aman, periksakan dulu beliau ke dokter agar dievaluasi penyebab keluhannya, seperti lewat tes darah (untuk memantau kadar gula dan HbA1c-nya), atau tes penunjang lainnya. Dari sini, barulah dokter bisa memutuskan tatalaksana terbaik atas kondisinya. Untuk saat ini, bantulah dulu beliau untuk: Disiplin menjalani pengobatan sesuai arahan dokter Jaga pola makan, yakni dengan menjauhi makanan berindeks glikemik tinggi, membatasi makanan yang mengandung tinggi garam dan lemak jahat, perbanyak makan makanan yang mengandung kaya serat dan antioksidan Sempatkan berolahraga walau hanya 30 menit setiap 3-4 hari sekali Jangan stres berlebihan Tidur cukup dan teratur Semoga membantu ya..","27 September 2024, 21:26"
Obat herbal gula darah dan darah tinggi,https://www.alodokter.com/komunitas/topic/obat-herbal-gula-darah-dan-darah-tinggi,Co****s,"25 September 2024, 13:39","dok saya cek gula dan gula saya tinggi 239, saya juga sudah minu metformin, saya mau kombinasi kan dg obat herbal. obat herbal yg bagus untuk menurunkan kadar gula darah apa ya dok? mohon penjelasannya dok, terimakasih",dr. Nadia Nurotul Fuadah,"Alo, terimakasih atas pertanyaannya. Kadar gula darah yang tinggi dalam darah (hiperglikemia) biasanya menandakan diabetes mellitus yang tidak terkontrol. Selain dengan rutin meminum obat sesuai arahan dokter, hiperglikemia akibat diabetes memang mesti ditangani secara komprehensif, yakni dengan: Menjaga pola makan, seperti: Menghindari asupan makanan yang mengandung indeks glikemik tinggi, seperti gula, camilan manis, roti, lontong, bubur nasi, nasi putih, kentang, mie Memperbanyak asupan makanan yang mengandung kaya serat dan antioksidan, seperti biji-bijian utuh, buah-buahan, sayur mayur, kacang-kacangan Mengurangi asupan makanan yang mengandung tinggi lemak dan garam, seperti goreng-gorengan, makanan ultraproses Memperbanyak minum air putih Aktif berolahraga, lakukan setidaknya 30 menit setiap 3-4 hari sekali Jaga berat badan agar ideal Tidur teratur, jangan stres berlebihan Jauhi rokok, alkohol, dan NAPZA Terkait herba, kami sarankan Anda tidak sembarangan mengkonsumsinya tanpa didahului pemeriksaan dokter. Sebab, tidak semua herba yang beredar di pasaran aman bagi kesehatan dan terbukti benar bisa menurunkan kadar gula darah. Lebih tepat, selain menjalani upaya di atas, rutinlah mengontrol penyakit Anda ke dokter ya.. Semoga membantu.","25 September 2024, 19:58"
